username,review,clean_review
Syelandyolanda Aditiya,"Aplikasi sangat mengecewakan, entah apa masalahnya. Aplikasi inibselalu bermasalah dalam pengiriman, bukan sekali atau dua kali bahkan sampe berkali2....",aplikasi sangat kecewa entah apa masalah aplikasi inibselalu masalah kirim bukan sekali dua kali bahkan sampe berkali2
Mohamad Nurus,Lain dulu lain skrg. Dulu paling nyaman belanja disini ga peduli walau lebih mahal sy senang belanja disini karena lebih mudah dan simple pengiriman juga cepat. Skrg metode pembayaran ga selengkap dulu. Kirim instan biasanya 1 jam paling lama. Skrg pake kurir instant 3 jam lebih baru nyampe.,dulu skrg dulu paling nyaman belanja sini ga peduli lebih mahal sy senang belanja sini lebih mudah simple kirim cepat skrg metode bayar ga lengkap dulu kirim instan biasa 1 jam paling lama skrg pake kurir instant 3 jam lebih baru nyampe
TRI E. SETIYO,"Teraman, tetpercaya, andalan belanja online...... #ndakusahragu walau terkadang untuk kurir rekomendasi nya masih ada yg tidak segera di pick up. Semoga semakin baik dan bisa terus maju dengan pilihan barang berkualitas jauh dari penipuan....",ram tetpercaya andal belanja online ndakusahragu terkadang kurir rekomendasi nya ada yang segera pick up moga makin baik bisa terus maju pilih barang kualitas jauh tipu
Abel Tridiano,"PENIPUU yang nawarin promo siapa yang salah siapa, disini aku pengguna baru dan first time download dan coba aplikasi tokope(nipu)dia SUMPAHHH YAAA pihak kalian yang nawarin potongan 35 ribu sama gratis ongkir, tapi aku co barang dibatalin sama pihak Tokopedia nya, dan voucher nya ga dikembalikan alias aku sebagai pengguna baru ga ada keuntungan apa apa, masih trusted'an lazada sama shopee, jauh banget sama ni apk wkwk lawak 🥱😮‍💨",penipuu nawarin promo siapa salah siapa sini aku guna baru first time download coba aplikasi tokopenipudia sumpahhh yaaa pihak kalian nawarin potong 35 ribu sama gratis ongkir aku co barang dibatalin sama pihak tokopedia nya voucher nya ga kembali alias aku guna baru ga untung apa apa trustedan lazada sama shopee jauh banget sama ni apk wkwk lawak
Prahesti Asf,"Yang saya bingungkan ketika memakai aplikasi ini adalah transaksi saya dibatalkan oleh sistem, tanpa alasan yg jelas, pdhl saya saat itu memakai voucher diskon yg lumayan sehingga yg saya sayangkan adalah voucher hangus begitu saja karena transaksi dibatalkan. CS juga kurang interaktif trhdp keluhan costumer, Mohon diperbaiki:) Edit: setelah membaca ulasan lain ternyata banyak yg sama, kesel bgt",bingung pakai aplikasi transaksi batal sistem alas yang jelas pdhl saat pakai voucher diskon yang lumayan yang saya sayang adalah voucher hangus saja transaksi batal cs kurang interaktif trhdp keluh costumer mohon baik edit baca ulas nyata banyak yang sama kesel banget
Wan Chanel,"Bagaimana ini, saya pengguna lama tokopedia, mengapa fitur opsi SELESAIKAN PESANAN tidak ada atau tidak tampil??? Saya yg notabene sebagai pembeli jadi merasa tidak enak kepada penjual yg sampai saat ini belum menerima dana pembelian dari saya karena tidak adanya opsi SELESAIKAN PESANAN di aplikasi saya padahal barang pesanan sudah saya terima. Ini sudah 1 bulan lebih. Saya kira kasus sistem eror yg hanya beberapa hari ternyata memang tidak ada. Tolong diperbaiki SEGERA..!!!",bagaimana guna lama tokopedia fitur opsi selesai pesan ada tampil yang notabene beli jadi rasa enak jual yang saat belum terima dana beli tidak ada opsi selesai pesan aplikasi saya padahal barang pesan saya terima sudah 1 bulan lebih saya kira kasus sistem eror yang beberapa hari nyata memang tidak ada baik segera
Aanisa Natasya,"Tiba-tiba gak bisa pakai ongkir sama sekali, sudah langganan plus yang harganya lumayan mahal, lapor cs udah sejam lebih no respon. Katanya kalau langganan plus dapet prioritas cs, ini sudah sejam lebih gak ada tanggapan?",tibatiba gak pakai ongkir sama sekali langgan plus harga lumayan mahal lapor cs udah jam lebih no respon kata kalau langgan plus dapet prioritas cs sudah jam lebih gak tanggap
astrid lende,"Kesel banget, it's my first time co barang d tokped tapi malah fail. Mana saldo refund juga ga bisa balik, tolong ya tokped toko yang udah gak aktif itu di blokir aja dari pada nyusahin pembeli. Aku nunggu banget padahal barangnyaaa. Kesel bangettttt! Aku delete aja app nya.",kesel banget its my first time co barang d tokped malah fail mana saldo refund ga balik ya tokped toko udah gak aktif di blokir aja pada nyusahin beli aku nunggu banget padahal barangnyaaa kesel bangettttt aku delete aja app nya
Mas Saga,"Jelek, masa harga nya bukannya di diskon malah di mahalin? , udah iklannya jelek lagi, apalg pas di game, maksa bgt dah, miminny pengen banget ada yg beli di tokped. Sampe segitunya, masa pengiriman nya lama bgt sih?, mana pesanan nya g sesuai lg, dan tlong kalau ngadain iklan di aplikasi lain jangan teraku maksa beli, jangan tiba tiba pindah ke tokopedia, CAPEK ,MALES TAU GAK SIH?!!",jelek masa harga nya bukan diskon malah mahalin udah iklan jelek apalg pas game maksa banget dah miminny ken banget yang beli tokped sampe segitunya masa kirim nya lama banget sih mana pesan nya g sesuai lg tlong kalau ngadain iklan aplikasi jangan tera maksa beli jangan tiba tiba pindah tokopedia capek males tau gak sih
Puji OnO,"Tampilan aplikasinya sih ga ribet seperti sebelah, cuma pengirimannya ga jelas, order dari tgl 29, sekarang tgl 3 blm ada kejelasannya itu barang udah di pickup atau kaga, malah ada keterangan resi tidak valid. Seller ditanya ga respon. Kacau ini",tampil aplikasi sih ga ribet belah cuma kirim ga jelas order tgl 29 sekarang tgl 3 blm jelas barang udah pickup kaga malah terang resi valid seller tanya ga respon kacau
